b0100021806;Труба PP-RGF арм стекловолокном Дн110х18,3 Ру25 ПК Контур 010220110000;32;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;1 120,79;2 410,3;0105-01178;@;0
b0100021831;Кран шаровой латунь Uno+ Ду20 ВР/НР полный проход рычаг STC 1752;10;Запорная арматура;Краны;STC;S;D1;141,97;216,02;0301-00092;@;0
b0100021833;Кран шаровой латунь Uno+ Ду20 ВР/НР полный проход бабочка STC 1753;10;Запорная арматура;Краны;STC;S;D0;112,51;267,08;0301-00081;@;0
b0100021849;Кран шаровой латунь Uno+ Ду25 ВР/ВР полный проход бабочка STC 1751;11;Запорная арматура;Краны;STC;S;D0;220,1;340,11;0301-00133;@;0
b0100021851;Кран шаровой латунь Uno+ Ду25 ВР/НР полный проход бабочка STC 1753;13;Запорная арматура;Краны;STC;S;P2;223,68;343,18;0301-00083;@;0
b0100021920;Арматура для бачка пластик  бок/подвод шток универсал Уклад АБ66.03.14.0;5;Сантехника;Унитазы;Уклад;S;Pz;135,31;215;0902-00099;@;0
b0100021956;Радиатор алюминий Термал 500 4 секции ЗМЗ;2;Отопительное оборудование;Радиаторы;ЗМЗ;S;P2;833,43;1 237,37;0502-01671;0;0
b0100021989;Прокладка силикон Дн20 для американок;56;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;_;Z;D0;5;5;0105-01182;&;0
b0100021990;Прокладка силикон Дн25 для американок;59;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;_;Z;D0;8;9;0105-01183;&;0
b0100022021;Комплект RA-G/RA2940 для однотр системы Ду15 прям розница Danfoss 013G2144;53;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Danfoss;Z;D0;1 315,98;1 614;;@;0
b0100022080;Вентиль PP-R запорн белый Дн20х1/2" НР для радиатора угловой ПК Контур 011125020100;7;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;198,18;426,2;0105-00562;0;0
b0100022216;Зонт ПВХ вентиляцион Ду50;2;Водоотведение;Трубы для внутреннего водоотведения и соед части;_;Z;D0;38,98;52;0201-00569;&;0
b0100022221;Тройник латунь переходн Дн16х1/2"х16 Faro пресс ВР для мп STC 6518;40;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;STC;Q;D0;99,58;179,25;0103-00030;&;0
b0100022275;Люк полимер  тип Т ЛПКТ серый С250 m=68кг;19;Водоотведение;Люки и дождеприемники;_;S;D0;1 655,72;2 554;;@;0
b0100022344;Угольник латунь переходн Дн32х1" НР для мп Comap 9464968;17;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;Z;D0;409,17;447;0103-00200;&;0
b0100022345;Угольник латунь переходн Дн32х1" ВР для мп Comap 9465968;1;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;Z;NL;423,83;463;0103-00206;&;0
b0100022351;Угольник латунь Ду1/2" ВР/ВР Valtec VTr.090.N.0004;8;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;Valtec;Z;NL;66,14;120;0111-01222;&;0
b0100022358;Заглушка латунь Ду2" ВР Valtec VTr.590.N.0009;3;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;Valtec;Z;NL;248,59;451;0111-01223;&;0
b0100022363;Переходник латунь Ду1"х1/2" ВР/НР Valtec VTr.592.N.0604;1;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;Valtec;Z;NL;62,84;114;0111-01226;&;0
b0100022370;Угольник латунь Дн32х32 Valtec VTm.351.N.003232;16;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;545,69;990;0103-01031;&;0
b0100022371;Угольник латунь Дн20х1/2" ВР Valtec VTm.352.N.002004;2;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;131,74;239;0103-01032;&;0
b0100022439;Угольник ПНД компрессия  Дн40х90° ТПК-АКВА 50040040;4;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;ТПК-АКВА;S;D1;66,94;99;0107-00377;@;0
b0100022440;Муфта ПНД компрессия  Дн40х1 1/4" НР ТПК-АКВА;6;Трубопроводы и соединительные части;Труба полиэтиленовая (ПЭ, ПНД) и соединительные части;ТПК-АКВА;S;D0;21,25;44;0107-00829;&;0
b0100022468;Муфта PP-H 2-х растр Ду32 Политэк;6;Водоотведение;Трубы для внутреннего водоотведения и соед части;Политэк;S;P2;15,62;31;0201-00570;0;0
b0100022545;Кран шаровой латунь Uno+ Ду20 ВР/ВР полный проход бабочка STC 1751;15;Запорная арматура;Краны;STC;S;D0;139,93;209,38;0301-00134;@;0
b0100015415;Резак для ПП труб JRF PC-208 ПК Контур 0-63мм  012400208010;3;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;ПК Контур;S;P2;1 407,04;3 025,9;1201-00660;&;0
